order,aic,bic,specification
"(0,2,2)",116.61445978993721,117.8248001619134,B_arima_with_step_dummy
"(1,2,2)",118.4890901647535,120.00201562972373,B_arima_with_step_dummy
"(2,2,2)",121.527532552659,123.34304311062327,B_arima_with_step_dummy
"(2,2,1)",124.35872951813911,126.34820588213097,B_arima_with_step_dummy
"(1,2,1)",126.7235322997778,128.31511339097128,B_arima_with_step_dummy
"(2,2,0)",127.8012396105152,129.39282070170867,B_arima_with_step_dummy
"(0,2,1)",128.2601157609466,129.45380157934173,B_arima_with_step_dummy
"(0,2,0)",137.64197617386034,138.61178947343635,B_arima_with_step_dummy
"(1,2,0)",139.36377109496468,140.81849104432868,B_arima_with_step_dummy
"(2,1,0)",141.28353617383456,143.22316277298657,B_arima_with_step_dummy
"(2,1,2)",144.02556046414162,146.41293210093184,B_arima_with_step_dummy
"(1,1,0)",150.02197195720686,151.71682002959147,B_arima_with_step_dummy
"(1,1,2)",164.87586960815904,166.8653459721509,B_arima_with_step_dummy
"(2,1,1)",170.90862045993154,173.33315370887155,B_arima_with_step_dummy
"(0,1,2)",175.31988615757587,176.91146724876936,B_arima_with_step_dummy
"(1,1,1)",179.5783947842985,181.5180213834505,B_arima_with_step_dummy
"(0,1,1)",201.28194432082506,202.73666427018907,B_arima_with_step_dummy
"(0,1,0)",231.51393941634035,232.64383813126344,B_arima_with_step_dummy
"(1,0,2)",278.0155226008625,280.4400558498025,B_arima_with_step_dummy
"(2,0,2)",284.4301421755686,287.33958207429663,B_arima_with_step_dummy
"(0,0,2)",299.4818588368727,301.4214854360247,B_arima_with_step_dummy
"(1,0,1)",300.0606277706016,302.3204252004478,B_arima_with_step_dummy
"(2,0,0)",302.26541501170965,304.5252124415558,B_arima_with_step_dummy
"(2,0,1)",310.727890734679,313.5526375219867,B_arima_with_step_dummy
"(0,0,1)",320.1909790094129,321.8858270817975,B_arima_with_step_dummy
"(1,0,0)",323.2309545337495,325.1481265225953,B_arima_with_step_dummy
