year,month,temp_avg_c,temp_max_c,temp_min_c,humidity_avg_pct,precip_mm,pan_evap_mm,soil_temp_50cm_c,soil_temp_100cm_c
2015,1,5.6,10.2,0.9,79.6,66.7,20.7,8.7,3.9
2015,2,8.6,13.5,3.8,78.1,47.7,32.6,9.5,3.4
2015,3,11.5,16.7,6.3,70.7,151.6,47.3,11.7,4.0
2015,4,15.3,20.9,9.7,68.8,70.0,82.4,14.9,2.9
2015,5,21.7,28.6,14.8,66.3,17.8,146.0,20.0,2.5
2015,6,27.5,34.9,20.0,58.9,230.9,230.9,25.0,0.4
2015,7,31.3,39.5,23.2,56.0,0.0,280.3,29.2,0.0
2015,8,31.6,39.2,24.0,55.3,0.0,252.5,29.8,1.0
2015,9,28.0,36.2,19.7,55.3,27.2,168.0,27.9,0.7
2015,10,19.9,25.1,14.6,74.0,117.4,55.6,23.3,3.1
2015,11,11.4,16.5,6.4,76.5,112.7,30.6,16.1,3.3
2015,12,6.2,11.4,1.0,72.3,99.1,18.4,10.6,2.9
2016,1,3.7,7.3,0.0,81.2,151.0,9.7,7.3,5.3
2016,2,9.8,15.4,4.3,72.9,55.7,34.9,8.9,3.1
2016,3,11.3,16.0,6.5,73.7,217.7,40.6,12.1,4.6
2016,4,16.5,22.4,10.5,69.3,110.5,97.4,15.4,2.7
2016,5,21.7,28.5,14.9,65.0,11.8,153.4,21.5,2.1
2016,6,27.8,35.7,20.2,52.0,0.0,253.6,27.5,1.1
2016,7,31.6,39.7,24.0,52.2,0.0,278.7,31.8,0.2
2016,8,32.3,40.35,24.0,53.7,0.0,250.3,32.3,0.3
2016,9,27.5,36.1,19.1,57.6,0.0,189.4,29.8,0.3
2016,10,21.5,29.2,14.6,64.9,11.0,102.8,24.1,1.4
2016,11,12.0,16.0,5.3,67.7,51.6,49.3,17.1,1.3
2016,12,4.8,16.0,0.8,84.4,180.5,16.0,10.2,4.8
2017,1,5.3,10.3,0.2,76.5,36.0,19.1,8.1,3.0
2017,2,5.6,11.4,-0.3,70.4,45.1,30.7,7.6,2.8
2017,3,11.0,15.6,6.4,75.0,187.8,45.5,11.0,4.5
2017,4,16.5,22.1,10.8,69.7,106.0,85.8,15.5,3.0
2017,5,21.9,28.5,15.2,61.5,16.4,176.8,20.8,1.6
2017,6,27.8,35.5,20.1,52.5,0.0,252.3,26.6,0.3
2017,7,32.5,40.1,24.9,50.7,0.0,282.1,30.1,0.4
2017,8,32.3,40.5,24.1,51.6,0.0,265.7,30.9,0.1
2017,9,28.7,37.4,20.0,52.6,0.0,187.6,29.1,0.5
2017,10,19.6,26.5,12.6,58.8,3.5,103.1,24.1,1.3
2017,11,12.9,18.3,7.5,75.6,76.0,27.3,17.7,3.5
2017,12,8.6,14.4,2.7,76.6,60.8,12.0,11.3,3.0
2018,1,6.7,16.0,2.0,77.3,85.1,14.2,9.8,3.9
2018,2,9.4,16.0,4.5,78.5,236.6,19.7,10.1,4.8
2018,3,15.8,20.8,9.6,69.2,58.7,59.4,13.9,3.4
2018,4,17.4,23.6,11.3,69.3,52.5,87.0,17.1,2.6
2018,5,20.9,26.4,15.3,71.9,144.2,91.1,20.1,3.4
2018,6,27.6,34.9,20.2,58.4,0.0,215.1,24.9,0.6
2018,7,32.2,39.9,24.4,57.2,0.0,273.7,29.1,0.2
2018,8,31.3,39.9,22.7,55.8,0.0,257.6,30.5,0.1
2018,9,27.9,36.5,19.3,54.6,0.0,182.7,29.1,0.4
2018,10,21.5,28.5,14.6,70.5,110.6,86.2,24.8,2.7
2018,11,11.8,15.9,7.8,78.9,112.9,39.0,17.2,4.7
2018,12,7.0,9.6,4.5,84.1,268.9,5.9,12.6,6.8
2019,1,4.8,9.0,0.7,83.3,149.9,17.2,8.9,5.2
2019,2,7.4,12.5,2.4,78.8,134.7,23.1,8.9,4.0
2019,3,9.6,13.9,5.4,80.6,194.1,29.1,10.7,4.9
2019,4,13.7,19.2,8.2,73.1,166.8,51.3,13.6,4.1
2019,5,22.4,29.8,14.9,66.3,48.6,140.6,18.9,2.0
2019,6,29.4,37.2,21.6,56.0,0.0,214.7,25.3,0.8
2019,7,30.8,38.6,22.9,61.5,0.0,256.1,29.4,0.1
2019,8,32.5,40.9,24.0,58.2,0.0,284.6,31.5,0.3
2019,9,26.0,34.6,19.1,62.2,0.0,185.9,29.4,0.1
2019,10,21.5,29.2,13.7,67.7,16.0,114.3,24.5,2.1
2019,11,12.5,19.8,5.1,67.7,87.4,45.8,17.3,1.6
2019,12,8.1,12.2,4.0,77.2,94.0,18.3,16.2,4.4
2020,1,5.1,9.3,0.9,75.9,120.8,15.1,9.1,4.5
2020,2,4.3,8.2,0.3,79.2,160.7,11.1,7.4,4.7
2020,3,11.9,18.2,5.7,68.5,143.6,34.0,11.8,3.2
2020,4,15.9,22.4,9.4,70.0,138.0,29.8,14.9,2.8
2020,5,21.9,29.4,14.4,60.5,46.5,172.0,20.0,1.7
2020,6,27.5,35.7,10.6,52.5,0.0,238.95,26.6,0.6
2020,7,31.25,39.7,8.15,52.2,0.0,279.5,31.0,0.2
2020,8,32.9,40.35,8.5,53.7,0.0,255.05,31.5,0.3
2020,9,26.14,36.1,8.66,55.3,0.0,182.7,29.4,0.5
2020,10,21.9,30.8,13.1,49.9,2.8,126.0,25.2,0.2
2020,11,13.1,17.8,8.3,77.1,189.7,99.0,18.2,3.7
2020,12,7.3,12.5,2.1,74.5,52.0,21.5,12.0,2.5
2021,1,6.3,12.3,0.3,67.7,127.1,20.4,8.5,3.2
2021,2,9.1,15.1,3.2,67.4,81.1,32.4,9.6,2.7
2021,3,12.5,17.8,7.3,66.0,70.5,52.5,12.4,4.0
2021,4,18.8,25.8,11.8,60.7,7.8,115.4,17.4,2.4
2021,5,24.8,32.5,17.0,50.4,15.2,224.8,23.2,1.0
2021,6,28.9,36.8,20.9,46.4,0.0,284.4,27.7,0.1
2021,7,32.7,40.6,24.7,49.3,0.0,327.5,31.3,0.2
2021,8,32.2,39.4,24.2,48.6,0.0,258.4,32.1,0.5
2021,9,26.5,34.2,18.8,48.9,0.0,196.9,29.9,0.3
2021,10,20.7,28.1,13.3,55.9,24.5,110.7,24.4,2.1
2021,11,14.0,20.6,7.5,63.4,13.5,53.2,17.6,2.5
2021,12,7.3,11.7,2.9,76.5,145.6,21.2,12.1,3.7
2022,1,3.0,6.9,-1.0,81.0,151.0,12.8,8.1,4.6
2022,2,8.9,14.4,3.4,70.9,52.5,31.1,8.7,3.0
2022,3,8.7,12.5,4.9,71.4,120.6,40.3,10.9,5.7
2022,4,18.3,24.9,11.8,61.4,41.1,123.5,16.6,2.7
