lag_years,climate_variable,n_pairs,spearman_rho,p_value,significant_at_5pct,p_holm,p_fdr_bh,significant_after_holm
0,temp_avg_c,9,0.6,0.08762282904140249,False,0.9638511194554275,0.525736974248415,False
0,precip_total_mm,9,0.45,0.22421610749233675,False,1.0,0.6988066039502939,False
0,humidity_avg_pct,9,0.7833333333333333,0.012519873019449885,True,0.15023847623339862,0.15023847623339864,False
0,pan_evap_total_mm,9,-0.35,0.35581957250178897,False,1.0,0.8496935193298687,False
1,temp_avg_c,9,-0.13333333333333333,0.7323675052362973,False,1.0,0.8496935193298687,False
1,precip_total_mm,9,0.13333333333333333,0.7323675052362973,False,1.0,0.8496935193298687,False
1,humidity_avg_pct,9,0.26666666666666666,0.48792227483870076,False,1.0,0.8496935193298687,False
1,pan_evap_total_mm,9,-0.03333333333333333,0.9321567355405039,False,1.0,0.9321567355405039,False
2,temp_avg_c,8,-0.14285714285714288,0.735764859879812,False,1.0,0.8496935193298687,False
2,precip_total_mm,8,-0.19047619047619052,0.6514014957024814,False,1.0,0.8496935193298687,False
2,humidity_avg_pct,8,0.11904761904761905,0.7788857260523796,False,1.0,0.8496935193298687,False
2,pan_evap_total_mm,8,-0.4761904761904762,0.23293553465009798,False,1.0,0.6988066039502939,False
