year,population,density_per_km2,growth_rate_pct,source
2010,56761.0,26.585948477751757,,administrative estimate
2011,58294.0,27.303981264637002,2.700798083190925,administrative estimate
2012,59867.0,28.040749414519905,2.6983909150169794,administrative estimate
2013,61424.0,28.770023419203746,2.6007650291479445,administrative estimate
2014,63021.0,29.518032786885247,2.599960927324818,administrative estimate
2015,64660.0,30.285714285714285,2.6007203947890467,administrative estimate
2016,66341.0,31.073067915690867,2.5997525518094644,administrative estimate
2017,67999.0,31.849648711943793,2.499208634177963,administrative estimate
2018,69631.0,32.614051522248246,2.400035294636682,administrative estimate
2019,71233.0,33.36440281030445,2.300699401128803,administrative estimate
2020,72800.0,34.09836065573771,2.1998231156907577,administrative estimate
2021,74278.0,34.790632318501174,2.0302197802197774,administrative estimate
2022,75731.0,35.4711943793911,1.9561646786397047,administrative estimate
2023,77360.0,36.23419203747073,2.151034582931688,administrative estimate
2024,91589.0,42.89882903981265,18.393226473629774,2024 census round
