year,official_population,source,legacy_population,ratio_legacy_to_official
2010,56761.0,administrative estimate,,
2011,58294.0,administrative estimate,,
2012,59867.0,administrative estimate,,
2013,61424.0,administrative estimate,,
2014,63021.0,administrative estimate,,
2015,64660.0,administrative estimate,107333.0,1.6599597896690381
2016,66341.0,administrative estimate,111667.0,1.6832275666631495
2017,67999.0,administrative estimate,115667.0,1.701010308975132
2018,69631.0,administrative estimate,119667.0,1.7185879852364607
2019,71233.0,administrative estimate,123667.0,1.7360914183033145
2020,72800.0,administrative estimate,127667.0,1.7536675824175825
2021,74278.0,administrative estimate,133867.0,1.8022429252268506
2022,75731.0,administrative estimate,140512.0,1.8554092775745732
2023,77360.0,administrative estimate,196375.0,2.5384565667011376
2024,91589.0,2024 census round,201403.0,2.1989867778881744
