sample,model,key,n_forecasts,MAPE_%,MAE,RMSE,R2
all folds (2018-2024),Log-linear trend,loglinear,7,2.5044489865443964,2177.313950392952,4449.591324962015,0.5687560368844328
all folds (2018-2024),"MLP (128,128,128)",mlp_large,7,2.147835349538927,1932.540870642009,4768.484369067629,0.5047283083177322
all folds (2018-2024),Polynomial (deg 2),poly2,7,2.165111889847967,1948.485729747165,4778.547269346214,0.5026357657103779
all folds (2018-2024),Random walk + drift,drift,7,2.046502306915126,1861.757739879168,4779.755800829982,0.5023841593911005
all folds (2018-2024),ARIMA (AIC grid),arima,7,4.189396957797027,3371.4390018690633,5670.167691966522,0.2997153850884601
all folds (2018-2024),"MLP (8,8)",mlp_small,7,7.21138742569364,5798.344876219057,7499.716849934878,-0.22510274496538996
excluding the 2024 rebasing fold,Random walk + drift,drift,6,0.08664349188620352,64.64044011544077,81.70170473745449,0.9990250605961379
excluding the 2024 rebasing fold,"MLP (128,128,128)",mlp_large,6,0.21132249477517945,153.13477081790674,174.54198050567703,0.995550459276682
excluding the 2024 rebasing fold,Polynomial (deg 2),poly2,6,0.2267980687921983,167.45038433944865,185.29682713636038,0.9949852261491129
excluding the 2024 rebasing fold,Log-linear trend,loglinear,6,0.7995407015694449,596.3911959517112,654.4666358238051,0.9374409118708028
excluding the 2024 rebasing fold,ARIMA (AIC grid),arima,6,2.6356799597026996,1870.807177516508,3461.9189120018605,-0.7504478204649725
excluding the 2024 rebasing fold,"MLP (8,8)",mlp_small,6,5.242629155349592,3860.763405143732,3875.785703270283,-1.1939912923933127
